,Job Title,Salary Estimate,Company Name,Location,Size,Type of ownership,Industry,Sector
152,Data Analyst I - Geriatrics and Palliative Care,$43K-$76K (Glassdoor est.),"Mount Sinai Health System
3.4","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
153,Data Analyst,$43K-$76K (Glassdoor est.),Monkey Algorithms LLC,"New York, NY",-1,-1,-1,-1
154,Data Analyst/Rochade,$43K-$76K (Glassdoor est.),"Halcyon Solutions, Inc.
3.3","New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
155,"Data Analyst, Revenue Analytics",$43K-$76K (Glassdoor est.),"Roman
3.2","New York, NY",201 to 500 employees,Company - Private,-1,-1
156,Data Analyst,$43K-$76K (Glassdoor est.),"COUNCIL ON ACCREDITATION
3.8","New York, NY",51 to 200 employees,Nonprofit Organization,Social Assistance,Non-Profit
157,Data Analyst,$43K-$76K (Glassdoor est.),APR Staffing,"New York, NY",-1,-1,-1,-1
158,"Data Analyst II, Division of Gastroenterology (Research)",$43K-$76K (Glassdoor est.),"Mount Sinai Health System
3.4","New York, NY",10000+ employees,Hospital,Health Care Services & Hospitals,Health Care
159,"Data Analyst, Student Success Program",$43K-$76K (Glassdoor est.),"Child Mind Institute
3.2","New York, NY",201 to 500 employees,Nonprofit Organization,Health Care Services & Hospitals,Health Care
160,Big Data QA Analyst with Jupyter notebook,$43K-$76K (Glassdoor est.),"COOLSOFT
3.2","Newark, NJ",51 to 200 employees,Company - Private,"Health, Beauty, & Fitness",Consumer Services
161,"Analyst, Data Centers Industry",$43K-$76K (Glassdoor est.),"451 Research
3.3","New York, NY",201 to 500 employees,Company - Private,Research & Development,Business Services
162,Data Analyst,$43K-$76K (Glassdoor est.),Stark HR Consulting LLC,"New York, NY",-1,-1,-1,-1
163,Financial - Data Analyst,$43K-$76K (Glassdoor est.),"Amenity Analytics
3.8","New York, NY",51 to 200 employees,Company - Private,Enterprise Software & Network Solutions,Information Technology
164,Data Analyst with Data Scanning and Profiling,$43K-$76K (Glassdoor est.),"Halcyon Solutions, Inc.
3.3","New York, NY",51 to 200 employees,Company - Private,IT Services,Information Technology
165,Business Analyst - Data Governance,$43K-$76K (Glassdoor est.),"Rockstar Games
4.1","New York, NY",1001 to 5000 employees,Subsidiary or Business Segment,Video Games,Media
166,Senior Data Analyst - Health Economist,$43K-$76K (Glassdoor est.),"Vericred
2.9","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
167,Lead Data Insights Analyst,$43K-$76K (Glassdoor est.),TapRm,"Brooklyn, NY",Unknown,Unknown,-1,-1
168,Research Analyst (Data Science),$43K-$76K (Glassdoor est.),"APCO Worldwide
3.4","New York, NY",501 to 1000 employees,Company - Private,Consulting,Business Services
169,Data Management Analyst,$43K-$76K (Glassdoor est.),"Brooklyn Community Services
2.5","Brooklyn, NY",201 to 500 employees,Nonprofit Organization,Social Assistance,Non-Profit
170,Business Analyst / Data Analyst,$43K-$76K (Glassdoor est.),"Softcom Systems
4.4","Weehawken, NJ",1 to 50 employees,Company - Private,IT Services,Information Technology
171,Healthcare Data/Reporting Analyst,$43K-$76K (Glassdoor est.),"Diverse Lynx
3.9","New York, NY",501 to 1000 employees,Company - Private,IT Services,Information Technology
172,Clinical Data Analyst,$43K-$76K (Glassdoor est.),"Fair Health
2.3","New York, NY",1 to 50 employees,Nonprofit Organization,-1,-1
173,Sr. Data Profiling Analyst,$43K-$76K (Glassdoor est.),"UBS
3.6","New York, NY",10000+ employees,Company - Public,Investment Banking & Asset Management,Finance
174,"Data Analytics Analyst or Associate, Cowen Sustainable Investments",$43K-$76K (Glassdoor est.),"Cowen Group, Inc.","New York, NY",1 to 50 employees,Unknown,-1,-1
175,Data Analyst,$43K-$76K (Glassdoor est.),"Workforce Logiq
3.6","Haworth, NJ",501 to 1000 employees,Company - Private,Consulting,Business Services
176,Data Analyst,$43K-$76K (Glassdoor est.),"Cross River Bank
3.3","Fort Lee, NJ",201 to 500 employees,Company - Private,Banks & Credit Unions,Finance
177,"Sr. Data Analyst, Revenue Analytics, Peacock",$43K-$76K (Glassdoor est.),"NBCUniversal
3.8","New York, NY",10000+ employees,Company - Public,TV Broadcast & Cable Networks,Media
178,Senior Data Analyst,$43K-$76K (Glassdoor est.),"Narrativ
3.7","New York, NY",1 to 50 employees,Company - Private,Internet,Information Technology
179,Data Analyst,$43K-$76K (Glassdoor est.),CompuForce,"New York, NY",Unknown,Company - Private,-1,-1
180,Senior Data Analyst - Data Cataloging / Data Profiling,$43K-$76K (Glassdoor est.),"Perficient
3.6","New York, NY",1001 to 5000 employees,Company - Public,IT Services,Information Technology
181,Data/Report Analyst,$60K-$110K (Glassdoor est.),"Lorven Technologies Inc
4.0","New York, NY",1 to 50 employees,Company - Private,Accounting,Accounting & Legal
